N,noise_std,seed,total_mc,peak_mc,peak_delay,r2_now
800,0.0,0,11.306039493916668,0.9143905325025051,1,0.9437666564276499
800,0.0,1,11.268406308205346,0.9043552283267148,1,0.9378399324445943
800,0.0,2,11.474366842425676,0.9210975541584557,1,0.9464480301156555
800,0.0,3,11.66057097042335,0.9505680717914378,1,0.9621401924468295
800,0.0,4,11.376648612075769,0.9171906192933208,1,0.955096413658218
800,0.05,0,11.249136204272517,0.8958410516049072,1,0.9459355591374473
800,0.05,1,11.399865702063048,0.9141309059771074,1,0.9506682340895062
800,0.05,2,11.221333455358781,0.8929087083933678,1,0.9429192142622189
800,0.05,3,11.642135594905472,0.9399290990441663,1,0.9577233705338827
800,0.05,4,11.35570714006471,0.9158152513390313,1,0.9559600720980643
800,0.1,0,11.43485379821715,0.936436308170854,1,0.9576668750776866
800,0.1,1,11.285550506627628,0.9195791948665109,1,0.9547674477904345
800,0.1,2,11.214317087991486,0.8923377700503711,1,0.940192681437474
800,0.1,3,11.74790968665527,0.9539534422934027,1,0.9654272195918406
800,0.1,4,11.489695160855065,0.9365588855932736,1,0.959101115030669
1200,0.0,0,16.237515967738716,0.9228593222423274,1,0.95878270251438
1200,0.0,1,16.31483654739385,0.9408817163762221,1,0.9635488852241411
1200,0.0,2,16.37550263536841,0.9449942047913314,1,0.9704760131625649
1200,0.0,3,16.207686379774046,0.9253044111313524,1,0.9587835834491797
1200,0.0,4,16.568012908483606,0.9513191150402451,1,0.9721588112010591
1200,0.05,0,16.27114612853279,0.9200335038113592,1,0.9494053901616372
1200,0.05,1,16.394231284256627,0.932138766920686,1,0.9578041062112065
1200,0.05,2,16.460166506878988,0.9443981965654655,1,0.9682826996911471
1200,0.05,3,16.44978525901352,0.9510931725772419,1,0.9714759356681844
1200,0.05,4,16.323848355067714,0.9322178862376108,1,0.9608271166029331
1200,0.1,0,16.21720171006828,0.945508942484219,1,0.9692848293212369
1200,0.1,1,16.371487456720985,0.9520269340418201,1,0.9698723146956758
1200,0.1,2,16.376852721026285,0.9429490669362488,1,0.9702293971441733
1200,0.1,3,16.42531381154384,0.9289211271035125,1,0.9594945812784843
1200,0.1,4,16.430998022634835,0.9421184366965223,1,0.9701842837674597
1600,0.0,0,21.138381702377455,0.9139298963771549,1,0.9534949464280822
1600,0.0,1,21.12928922335836,0.93254786193385,1,0.9653254342187297
1600,0.0,2,21.36078392572713,0.9298712714227071,1,0.9607365076698161
1600,0.0,3,21.288270797794915,0.9343189191854919,1,0.9631492086439063
1600,0.0,4,21.223047583556763,0.9377235775204092,1,0.9680553939967106
1600,0.05,0,21.040579122460603,0.9290620969216576,1,0.9617181523403378
1600,0.05,1,21.250795655694397,0.9377462140925944,1,0.9677763393698663
1600,0.05,2,21.115935207531326,0.9222032513877524,1,0.9562016223957543
1600,0.05,3,21.23674137130762,0.9472725477245836,1,0.9707495176553368
1600,0.05,4,21.23660459546883,0.9441315674924489,1,0.9701229124331967
1600,0.1,0,21.24560248339511,0.9435210950093957,1,0.9693032660292751
1600,0.1,1,21.34754557657496,0.9402712499954747,1,0.9692026128563815
1600,0.1,2,21.16296793164641,0.927674331149235,1,0.963395907014425
1600,0.1,3,21.30716592368149,0.9446989906330342,1,0.9721879480729788
1600,0.1,4,21.185712680382547,0.935576670543713,1,0.9653645275511602
2000,0.0,0,26.04924234739969,0.9243046717869783,1,0.9620307362307341
2000,0.0,1,26.188402774240142,0.9241920723296111,1,0.959187310829925
2000,0.0,2,26.28134507523903,0.9433198887434048,1,0.9650197155205406
2000,0.0,3,26.141807238490088,0.9291183575526466,1,0.9610868020498906
2000,0.0,4,25.964673013311923,0.9278185308082487,1,0.964517139646839
2000,0.05,0,26.16079803271059,0.9338169173192747,1,0.9648731545161267
2000,0.05,1,26.316488862249297,0.9298316129869094,1,0.9637251798921785
2000,0.05,2,25.983845939872086,0.9302378578628829,1,0.9631959871795795
2000,0.05,3,26.111928062545488,0.9233739649621368,1,0.9594064546820904
2000,0.05,4,26.01016063438141,0.9342012956665353,1,0.9679294814584049
2000,0.1,0,26.22704519283069,0.9350462879460992,1,0.9693922590929056
2000,0.1,1,26.111265548430048,0.9260503619432665,1,0.9647455364550894
2000,0.1,2,26.270527954528983,0.9310523437204139,1,0.963823707315288
2000,0.1,3,26.252914801478116,0.9315304099407056,1,0.9652201937487535
2000,0.1,4,26.09710890438798,0.9247178321979381,1,0.9613353262370543
2400,0.0,0,31.07701149822909,0.939140219283852,1,0.969535508774963
2400,0.0,1,30.949146605056583,0.9334079078023416,1,0.9626943803139014
2400,0.0,2,31.07900355548559,0.9329854278795655,1,0.9668660296028293

